text,created_at,source,is_retweet,retweet_count,in_reply_to_user_id_str,favorite_count
Ivanka Trump will be interviewed on @foxandfriends.,Mon Dec 18 11:42:18 +0000 2017,Twitter for iPhone,False,6350,,Mon Dec 18 11:42:18 +0000 2017
"Remember, Republicans are 5-0 in Congressional Races this year. The media refuses to mention this. I said Gillespie and Moore would lose (for very different reasons), and they did. I also predicted  “I” would win. Republicans will do well in 2018, very well! @foxandfriends",Mon Dec 18 11:23:49 +0000 2017,Twitter for iPhone,False,19207,,Mon Dec 18 11:23:49 +0000 2017
"More than a century after conquering flight, the #WrightBrothers continue to motivate &amp; inspire Americans, who never tire of exploration &amp; innovation. This GREAT AMERICAN SPIRIT can be found in the design of every new supersonic jet and next generation: https://t.co/NeKPMgkdg8 https://t.co/pODjl00lAy",Mon Dec 18 00:26:07 +0000 2017,Twitter for iPhone,False,13230,,Mon Dec 18 00:26:07 +0000 2017
Wonderful weekend at Camp David. A very special place. A lot of very important work done. Heading back to the @WhiteHouse now. https://t.co/cKxlsdr1ut,Sun Dec 17 21:13:34 +0000 2017,Twitter for iPhone,False,11081,,Sun Dec 17 21:13:34 +0000 2017
"As a candidate, I promised we would pass a massive TAX CUT for the everyday working American families who are the backbone and the heartbeat of our country. Now, we are just days away... https://t.co/MADTGUMktX",Sun Dec 17 17:01:58 +0000 2017,Twitter for iPhone,False,18452,,Sun Dec 17 17:01:58 +0000 2017
WEEKLY ADDRESS🇺🇸 https://t.co/1sH20Hb33x,Sat Dec 16 20:31:43 +0000 2017,Media Studio,False,13171,,Sat Dec 16 20:31:43 +0000 2017
"TAX CUTS will increase investment in the American economy and in U.S. workers, leading to higher growth, higher wages, and more JOBS! https://t.co/4GxM8psMU1",Sat Dec 16 20:05:05 +0000 2017,Twitter for iPhone,False,15385,,Sat Dec 16 20:05:05 +0000 2017
"Congratulations to two great and hardworking guys, Corey Lewandowski and David Bossie, on the success of their just out book, “Let Trump Be Trump.” Finally people with real knowledge are writing about our wonderful and exciting campaign!",Sat Dec 16 14:52:03 +0000 2017,Twitter for iPhone,False,22536,,Sat Dec 16 14:52:03 +0000 2017
"Great job Kevin, we are all proud of you! https://t.co/K6hEEaOxKt",Sat Dec 16 03:12:37 +0000 2017,Twitter for iPhone,False,13977,,Sat Dec 16 03:12:37 +0000 2017
"RT @RepKristiNoem: A lot of tough decisions got us to this point, but we’re closer than we’ve been in 30+ years to a fairer tax code that k…",Sat Dec 16 03:09:24 +0000 2017,Twitter for iPhone,True,6800,,Sat Dec 16 03:09:24 +0000 2017
